Treatment Pressure of Stage 1,Treatment Pressure of Stage 2,Treatment Volume of Stage 1,Treatment Volume of Stage 2,Fracture Spacing,NPV,Length of Fracture 1,Width of Fracture 1,Length of Fracture 2,Width of Fracture 2,Length of Fracture 3,Width of Fracture 3,Length of Fracture 4,Width of Fracture 4,Length of Fracture 5,Width of Fracture 5,Length of Fracture 6,Width of Fracture 6,Length of Fracture 7,Width of Fracture 7,Length of Fracture 8,Width of Fracture 8
23.7968,24.376,3340.25,3186.95,56.855,-6729760,70.4874,0.0184311,69.6614,0.0179199,69.6614,0.0179199,70.4874,0.0184311,58.3162,0.0199531,58.7926,0.0199721,58.9041,0.0200253,59.5999,0.0206153
24.6592,22.8,2268.2,3550.25,36.54,-2457560,46.0042,0.0195952,44.4355,0.0178526,44.4355,0.0178526,46.0042,0.0195952,108.088,0.0129463,111.101,0.012577,110.448,0.0125952,116.17,0.0138269
25.7016,27.6048,3801.2,3633.55,20.28,-1199400,69.5943,0.024051,56.2086,0.0160158,56.2086,0.0160158,69.5943,0.024051,43.1908,0.0223147,44.4749,0.0215911,43.4803,0.0201212,52.1874,0.0303409
26.7704,23.7536,3514.9,3188,42.065,-3356700,43.3086,0.0292632,42.3231,0.0274443,42.3231,0.0274443,43.3086,0.0292632,70.0308,0.0164164,72.6627,0.0166284,72.8623,0.0167098,75.0511,0.0178392
27.6664,26.8888,3443.15,1851.35,36.84,-2058730,38.8107,0.0317771,37.628,0.0290387,37.628,0.0290387,38.8107,0.0317771,27.2276,0.0222625,28.0805,0.023407,28.1922,0.0235585,28.9002,0.0256672
28.4968,26.9864,623.2,867.85,53.01,-3936980,12,0.022334,12,0.0221144,12,0.0221144,12,0.022334,14.9408,0.0197622,14.947,0.0197422,14.9493,0.019759,14.9782,0.0200606
28.8992,22.2552,3622.7,1905.95,17.075,-632863,45.0161,0.033859,35.6823,0.0190598,35.6823,0.0190598,45.0161,0.033859,12,0,102.094,0.0069239,118.212,0.0056895,177.884,0.0104616
22.1272,26.6384,2766.25,3584.9,58.005,-7049300,109.837,0.0109108,109.099,0.0107244,109.099,0.0107244,109.837,0.0109108,43.0001,0.029283,42.8501,0.0288047,42.8809,0.0288384,43.2835,0.0296201
23.0728,22.0776,2334.35,1706.1,49.625,-4131170,66.0776,0.0144849,64.9629,0.0139036,64.9629,0.0139036,66.0776,0.0144849,74.087,0.0093881,76.253,0.0095788,76.5661,0.0096346,77.6541,0.0099581
23.94,27.4848,2298.3,2975.9,32.455,-1619910,55.3642,0.0169006,52.5438,0.0148813,52.5438,0.0148813,55.3642,0.0169006,36.2002,0.0276679,36.0934,0.0263831,36.1908,0.0264475,37.8023,0.0299962
24.868,28.948,1443.25,2985.7,40.745,-2283220,29.4284,0.0179802,28.8959,0.016867,28.8959,0.016867,29.4284,0.0179802,28.8102,0.0335724,28.7643,0.0326777,28.7964,0.0327414,29.3346,0.0349235
25.6072,24.448,1194.05,946.6,54.11,-4463840,23.2905,0.0196248,23.1604,0.0191638,23.1604,0.0191638,23.2905,0.0196248,23.1954,0.0147015,23.3242,0.0148352,23.3426,0.0148657,23.48,0.0152333
26.2208,26.6392,1546.85,520.65,49.575,-3270110,24.3997,0.0223067,24.206,0.0215951,24.206,0.0215951,24.3997,0.0223067,12,0.0168719,12,0.0171408,12,0.0171768,12,0.0173992
26.78,23.7584,2192.6,2261.2,58.89,-6640830,29.1758,0.0267131,29.0014,0.0261415,29.0014,0.0261415,29.1758,0.0267131,52.0019,0.0166789,52.4466,0.0166982,52.5236,0.016736,53.0545,0.0171798
27.7992,29.8184,1297.65,2357.8,19.99,-76395.6,22.0999,0.0230596,20.562,0.0166317,20.562,0.0166317,22.0999,0.0230596,26.2263,0.0262643,26.3862,0.0236738,26.1887,0.0228033,29.2163,0.0332762
28.5384,25.3184,1048.45,1287.5,33.35,-784722,15.5212,0.0242117,15.3788,0.0226453,15.3788,0.0226453,15.5212,0.0242117,26.6402,0.0168316,26.9542,0.0167735,26.9952,0.0168064,27.8198,0.0187263
29.2256,24.344,938.55,1868.5,48.295,-3209400,12,0.0241532,12,0.0238274,12,0.0238274,12,0.0241532,39.1278,0.0176517,39.0398,0.0172783,39.0715,0.0173032,39.6565,0.0180775
22.0976,22.9488,1938.5,1513.95,20.435,-376401,119.8,0.0093281,89.2026,0.0061143,89.2026,0.0061143,119.8,0.0093281,58.5285,0.0093356,60.5164,0.0087978,56.9796,0.0078994,71.5693,0.012352
23.1608,25.9008,616.2,3661.55,39.075,-2090690,23.5798,0.010096,23.2219,0.0094737,23.2219,0.0094737,23.5798,0.010096,51.2571,0.0256952,50.3191,0.0241618,50.3479,0.0241911,51.9391,0.0261703
24.104,28.7408,2869.5,1329.15,29.12,-1051310,67.7611,0.0180521,62.6743,0.01526,62.6743,0.01526,67.7611,0.0180521,19.293,0.0251074,19.2183,0.0238879,19.2628,0.0240087,19.7586,0.0272293
24.9952,24.8936,1761.4,2585.65,34.59,-1578110,34.8497,0.0191652,33.7043,0.0172702,33.7043,0.0172702,34.8497,0.0191652,47.0456,0.0189859,47.9036,0.0186812,47.9818,0.0187242,50.0971,0.0208853
26.1472,23.8432,2115.6,867.15,54.47,-4814750,30.8927,0.0243857,30.64,0.0237039,30.64,0.0237039,30.8927,0.0243857,25.5939,0.0128333,25.9506,0.013209,25.9905,0.0132569,26.173,0.0136122
27.4792,23.388,2543.65,2368.65,28.395,-1176870,33.5434,0.0281047,31.7712,0.0237089,31.7712,0.0237089,33.5434,0.0281047,61.8167,0.0117172,73.3455,0.0129444,71.1152,0.0125514,78.1605,0.0151537
28.5976,23.412,2866,2349.75,47.02,-3734570,28.8554,0.0338497,28.5172,0.0324478,28.5172,0.0324478,28.8554,0.0338497,59.2325,0.0148414,60.773,0.0149928,60.9499,0.0150624,62.2046,0.0158164
29.632,22.8496,1579.4,3604.15,39.88,-2549990,16.0425,0.0287442,15.9457,0.0275853,15.9457,0.0275853,16.0425,0.0287442,107.849,0.0138555,106.689,0.0131515,106.616,0.0131877,110.674,0.014186
22.6144,29.3848,1400.55,1447.45,48.16,-3211800,50.713,0.0114527,49.8659,0.0109538,49.8659,0.0109538,50.713,0.0114527,15.929,0.0279031,15.9252,0.0276886,15.9307,0.0277312,15.9844,0.0283753
